[info] | 2021-10-17T08:16:37.460Z - activate - Git extension activated successfully  
[info] | 2021-10-17T08:16:37.464Z - receiveMessage - called successfully  
[info] | 2021-10-17T08:16:37.465Z - updateApplicationData - updated data successfully  
[info] | 2021-10-17T08:16:45.344Z - addAndRefreshDataToStorage - fresh data adding to project  
[info] | 2021-10-17T08:16:45.346Z - getWebviewContent - called successfully  
[info] | 2021-10-17T08:16:45.367Z - sendMessage - called successfully - "application_data" 
[info] | 2021-10-21T16:00:52.587Z - activate - Git extension activated successfully  
[info] | 2021-10-21T16:00:52.595Z - receiveMessage - called successfully  
[info] | 2021-10-21T16:00:52.596Z - updateApplicationData - updated data successfully  
[info] | 2021-10-21T16:00:52.597Z - getWebviewContent - called successfully  
[info] | 2021-10-21T16:00:52.620Z - sendMessage - called successfully - "application_data" 
[info] | 2021-10-21T16:05:43.024Z - activate - Git extension activated successfully  
[info] | 2021-10-21T16:05:43.027Z - receiveMessage - called successfully  
[info] | 2021-10-21T16:05:43.030Z - updateApplicationData - updated data successfully  
[info] | 2021-10-21T16:05:43.030Z - getWebviewContent - called successfully  
[info] | 2021-10-21T16:05:43.034Z - sendMessage - called successfully - "application_data" 
[info] | 2021-10-21T16:05:52.128Z - receiveMessage - extension message receiver - {"action":"is_stash","data":{"currentProject":"agents-dashboard","from":"refresh"}} 
[info] | 2021-10-21T16:05:52.130Z - changesIsStashed - called successfully - {"data":{"currentProject":"agents-dashboard","from":"refresh"},"sendReturnResponseToWeb":true} 
[info] | 2021-10-21T16:05:52.130Z - searchProject - called successfully - "agents-dashboard" 
[command] | 2021-10-21T16:05:52.132Z - changesIsStashed - command executed is -  - "cd /Users/adityatoke/Documents/projects/agents-dashboard && git status" 
[info] | 2021-10-21T16:05:52.241Z - changesIsStashed - sending start refreshing action to extension  
[info] | 2021-10-21T16:05:52.243Z - sendMessage - called successfully - "start_refreshing" 
[info] | 2021-10-21T16:05:52.244Z - receiveMessage - extension message receiver - {"action":"refresh_data","data":{"currentProject":"agents-dashboard"}} 
[info] | 2021-10-21T16:05:52.245Z - refreshData - called successfully - {"currentProject":"agents-dashboard"} 
[info] | 2021-10-21T16:05:52.245Z - changesIsStashed - called successfully - {"data":{"currentProject":"agents-dashboard"},"sendReturnResponseToWeb":false} 
[info] | 2021-10-21T16:05:52.246Z - searchProject - called successfully - "agents-dashboard" 
[command] | 2021-10-21T16:05:52.246Z - changesIsStashed - command executed is -  - "cd /Users/adityatoke/Documents/projects/agents-dashboard && git status" 
